"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.0125353458684785,0.0929496456926493,3.54722715340243,0.00811050632021157,0.267492675921003,0.998026778594556,0.29472702378595,0.0552614989605371,2.56600082470322,0.0101061331589732,1.67266870946402,1,1
0.0292983387648873,0.118703172101579,1.05654993400346,0.0331955342869353,0.444837110881096,0.300831245967459,0.22726712350367,0.0292636578474607,12.0145227498044,0.00505361126810056,4.94982483137439,1,2
0.02247734641178,0.140128198240503,1.23738610151154,0.00774251570950845,0.340287680633088,0.588019533132851,0.361440137850455,0.0289413990498826,12.3948291242034,0.00344902485934734,6.39253240823707,1,3
0.0238378341110983,0.159506793467493,1.7917671849028,0.0144499104465765,0.320111823348772,0.728485501604458,0.228896056847917,0.0155774058594087,6.05199519810115,0.00649066355322253,9.88302681338732,1,4
0.0267794214224759,0.183704877167532,1.14546228145909,0.0034235584743185,0.350645684809354,0.38917592952164,0.267337379846,0.0289418719772326,3.34809043677795,0.00621304300039787,5.71982898499039,1,5
0.0185601896975789,0.157923297311486,1.64057285582495,0.0050878611415033,0.254586008100199,0.712308060202701,0.23070740772331,0.0278789050494872,3.76041527552097,0.00558236601833942,4.07074735769636,1,6
0.0209627293537755,0.12750501060421,1.71130605262529,0.0208358118774675,0.300755462930249,0.252930010326458,0.182553053010924,0.0280420987192434,4.93623147942245,0.00486496269465133,4.00545575212504,1,7
0.0254703224845746,0.104673173788563,1.29715360255759,0.0152172657510664,0.222553777399218,0.401657038374504,0.437592619107961,0.0443524404956959,5.16006672020808,0.00618691371123722,2.73091809953473,1,8
0.0232410135177041,0.0682606395001293,1.25960744923633,0.0262525558284058,0.0843241221903864,0.101874210897769,0.44888626960982,0.0294312552572048,4.82431326669957,0.0032055251970895,4.98737900000427,1,9
0.0193870166307042,0.090432500030985,1.8174483410603,0.0147384284274348,0.201480519445699,0.209250704953789,0.318720064978388,0.0218889876011639,9.70957602487016,0.00212159112059092,7.24615936714578,1,10
