country,param,mean,lb,ub,q5,q10,q90,q95
Vietnam,r_b * a_rb,0.004240311,0.000272503,0.011128951,0.000433027,0.000831277,0.008266924,0.009951277
Prior,r_b * a_rb,0.045922169,0.000674716,0.151162766,0.001494724,0.003552153,0.109950556,0.133371989
Bangladesh,r_s,0.395152209,0.274865166,0.491614472,0.292755385,0.315538302,0.469735355,0.484547501
Cambodia,r_s,0.355703702,0.213536222,0.486902001,0.230238796,0.253521284,0.462939716,0.476867917
Nepal,r_s,0.405710623,0.256021954,0.496667575,0.280113917,0.302236664,0.484620199,0.493049892
Philippines,r_s,0.218752643,0.102422583,0.403990704,0.111226958,0.132023218,0.326103187,0.367842235
Vietnam,r_s,0.30250019,0.16436657,0.448769244,0.183627161,0.205635576,0.399392751,0.42839008
Prior,r_s,0.213321434,0.008575481,0.478882768,0.01727584,0.035072222,0.421332277,0.458613164
Bangladesh,r_s * a_rs,0.171444978,0.010260974,0.391468439,0.018441153,0.035582126,0.330193299,0.368318185
Cambodia,r_s * a_rs,0.142190009,0.010152687,0.364102508,0.017252599,0.028004288,0.287706787,0.324857842
Nepal,r_s * a_rs,0.186170478,0.004762061,0.426072545,0.01314483,0.031630765,0.358046995,0.396677181
Philippines,r_s * a_rs,0.078375283,0.00360939,0.236968528,0.005842213,0.012836526,0.168239229,0.199546313
Vietnam,r_s * a_rs,0.12966436,0.007039533,0.323902473,0.013193399,0.025485125,0.24762768,0.288369284
Prior,r_s * a_rs,0.103758586,0.001303527,0.362990061,0.002908791,0.007008495,0.254086976,0.314741434
