"V1","V2","V3","V4","V5","V6","chain","round"
-68.3761609728367,2.53253810070755,0.995724667114154,1.00859216709143,0.00261358334176994,99148.0944137475,1,1
-73.8042394424674,8.07069513405219,0.828704355078011,1.43703841554247,0.0600589274687278,76546.0141969045,1,2
-72.6887450315696,10.3935055105439,0.678229452086316,1.98773385136018,0.0886023260064609,60369.7583435547,1,3
-70.8015304162707,35.1828864848685,0.254651823047506,6.74135871589594,0.192641084656741,19283.0947106547,1,4
-68.6508045864549,49.5148452264538,0.603003369201037,2.57739139429098,0.147374858574212,54317.8746182829,1,5
-69.2462206845681,148.77095857211,0.17795363019904,12.5923455935557,0.301545402588176,11911.0777625006,1,6
-66.0976052480907,93.0153479221739,0.2581241391223,7.42600215923121,0.239090707843997,21545.0481331724,1,7
-66.2414132864769,148.977784849678,0.443664616767532,4.70802914197953,0.257678541267839,36107.739952852,1,8
-66.5477345909819,277.38117415399,0.101735356029891,35.7449395075318,0.414838398372358,5034.70581701624,1,9
-64.0264391548591,140.62866735835,0.249613217068547,9.48077317920654,0.286910573776902,20039.6650769874,1,10
-63.8428701240276,213.858998825675,0.22676553279693,12.670411411116,0.344658444915132,15783.886019264,1,11
-61.8381177955877,197.943187206865,0.160817636384292,20.4226134330893,0.352724851613382,10281.7681969077,1,12
-63.9761027886448,1.97335313402554,0.997171808976152,1.00567257624597,0.00170414818730372,99435.9363965676,2,1
-69.7527349335171,6.8329992198586,0.901302560864188,1.22655790353233,0.0395243363820207,89681.6800277031,2,2
-68.2803447143868,5.40252283071408,0.977345040175706,1.04672783862991,0.0119423170842731,114642.936628918,2,3
-72.0549119469282,13.6004595371894,0.434223374204549,3.39880310952577,0.122492218650632,38248.0529143026,2,4
-69.3766946129659,18.7065698155312,0.934511968477368,1.14425858641068,0.0347398546232734,122349.84067678,2,5
-69.8103363067773,99.5577172845975,0.184263890558057,13.6960043364375,0.284837637679927,10951.1723438923,2,6
-66.0766929656344,22.8479147266127,0.883834426169438,1.27424584477946,0.0514703213976259,125564.251520187,2,7
-67.7481765298316,108.912488556786,0.469002624487292,3.62879548853824,0.202632544855437,46846.7764926391,2,8
-68.0703618697154,185.729488417885,0.315519058705729,6.58423063283962,0.285662695780013,27337.1978862041,2,9
-68.2674318829773,239.428724781932,0.260907445665146,11.6060061799977,0.349923275136351,16369.9201078692,2,10
-68.5836644721777,379.194217471919,0.114368148893821,41.0687910539036,0.460456146676492,4868.90229483868,2,11
-68.2215731204778,391.041229294213,0.15631155001674,31.2581171127521,0.461570019738956,6717.28693642718,2,12
-68.3614039464766,4.29889800507985,0.601799288697613,2.12135260342735,0.0764576736741781,47139.206596122,3,1
-72.1078515921742,13.4450051216444,0.723555152871265,1.82673933294726,0.0867546332860635,60216.1300570887,3,2
-66.7533029934051,11.9446046859074,0.710391928122967,1.87326700925004,0.0853838614939419,64058.7412969789,3,3
-66.1717247089131,33.9714055984616,0.587829240056383,2.72524312386354,0.148006404746742,47701.5329771048,3,4
-65.9702120065362,65.6845945287082,0.228269427759088,7.84077590369233,0.225300093970512,17854.5032908425,3,5
-64.7231694146852,71.0038175277793,0.827432598232019,1.45859542276996,0.101826347680965,102838.346439248,3,6
-64.5810948979966,128.050395405465,0.367045514184616,5.34595179669587,0.240189622664966,29928.3757328168,3,7
-64.7971398690736,227.192541366768,0.19567052947296,15.673247481077,0.356004578970388,10845.5715301781,3,8
-64.2789756981348,285.078615316275,0.110222841740989,35.4728899075783,0.416185721279398,5073.3257816733,3,9
-63.7153926980035,246.149325632688,0.267793779082747,12.2426126261985,0.364848974876678,15518.6448455974,3,10
-62.3505923584481,138.269442299962,0.695504353592055,2.05928467896758,0.182931463296112,97120.5888883193,3,11
-63.3894983534349,331.454826988507,0.162960821205267,26.9734546520849,0.431104539152055,7784.46918016244,3,12
-64.2083561996166,2.68926120516069,0.979514462430932,1.04184542505628,0.00904244849026021,95983.4882883465,4,1
-67.7962862284044,7.03288027911033,0.961925087880129,1.08025389345592,0.0189474997517291,101827.839188312,4,2
-67.954868731792,13.5437994869171,0.604937031766417,2.3290163066796,0.104872303222944,51523.3279511454,4,3
-67.9491011630343,52.6568758975705,0.31754003907564,5.97637282479152,0.20953391018237,21751.4916488547,4,4
-66.0951566148288,75.0338571086603,0.281698616124454,6.38100424748938,0.22078913884363,21939.2768798732,4,5
-66.8005675481048,155.420122566939,0.191771399571565,17.479572458807,0.335604660542067,8580.50279382591,4,6
-64.8756460372315,148.787580666977,0.14378955334456,15.383435392445,0.313598655330824,10399.8627350353,4,7
-62.2986043289695,58.9232128261211,0.862112713619132,1.34316153906522,0.0818681259635884,126566.799221153,4,8
-63.2676502443973,152.340259332991,0.466957164915187,4.23413220962582,0.246635089674352,42510.8987954182,4,9
-63.825404957303,252.813778881356,0.116615157264763,22.5605548600394,0.378643235425125,8420.82300325703,4,10
-63.2292962371493,242.13291981999,0.204991341306872,14.0824381361042,0.360418444342304,14201.1571834092,4,11
-63.3548456985196,326.557577088852,0.16536307335083,27.0480789232008,0.430018950502809,7762.9894675045,4,12
-68.5617406196424,2.17394045241223,0.972986924791904,1.055494272515,0.0108990532295054,94742.2900428402,5,1
-73.7065799114852,9.79954992600715,0.948723482014556,1.11017857701024,0.0252815556632831,99083.0593368648,5,2
-68.470458427736,8.13567771290803,0.644538645595926,2.15523502409147,0.0918994170516198,55677.8464594291,5,3
-68.2680693862507,60.2454184948434,0.491267434608049,3.16027631232375,0.164701643434802,41134.960003381,5,4
-69.3748906723497,223.863512162647,0.0850263314140972,34.112995820837,0.393596051789744,4103.03708014296,5,5
-66.7392411403108,118.870127127381,0.232307515577821,7.3025636719562,0.246769675233174,20539.8684807537,5,6
-67.3291167625379,236.040398281905,0.312455472570611,6.99737579686459,0.321943505114112,22864.857802608,5,7
