"V1","V2","V3","V4","V5","V6","chain","round"
-105.061459565124,6.30739484170782,0.756508086184678,1.60080064028927,0.0517852109960626,124937.105947318,1,1
-103.769926500255,12.7589650391259,0.622838456675394,2.08754342506323,0.0817643729740826,105386.508280645,1,2
-98.6234057245677,18.293563904964,0.384483806868389,3.14902377885366,0.107858605908194,76213.4133692164,1,3
-100.579017432796,143.034503069714,0.152110982651543,20.359918516147,0.320084549640654,12769.2377452708,1,4
-98.7786585612019,166.206460814463,0.297154658134175,9.74678064755059,0.303345220397778,28726.5368240822,1,5
-97.0838239633953,122.08955879672,0.756081686538101,1.7455048920816,0.148118139998391,171869.615406725,1,6
-97.9900517787413,292.764691089233,0.312478521227981,9.56507369982667,0.364583289110819,33454.1525702339,1,7
-97.9094720338763,422.005977118799,0.0449362326858475,92.9767631239269,0.484470206915812,3655.83842183557,1,8
-96.9651736427,390.175541394987,0.12187349136874,44.7763790229889,0.457335513594315,8038.97571339048,1,9
-96.5924590327173,394.74777749123,0.164547263800924,27.1972194524508,0.443563854780652,13971.0533047659,1,10
-96.5907770354469,499.692133530659,0.0404232042733144,110.351818541794,0.517962156199477,3623.77941018368,1,11
-96.4296000127827,500.987109434178,0.110032264525008,59.1101416386142,0.511488479943897,7104.39660739492,1,12
-96.3298090028264,513.320444469966,0.160293652085755,33.8730178254291,0.506306019412744,12988.7194927513,1,13
-96.4295022689661,600.685413841816,0.0399005544084015,172.492310763222,0.566190483118914,2665.79133459247,1,14
-96.223800731187,643.32507860055,0.0328358615384068,242.94321467137,0.586844423697768,1974.77446295525,1,15
-96.1204071097843,663.888958307997,0.0448104763533789,221.868041223584,0.594873837035175,2252.59631247834,1,16
-100.738413620895,3.10745742971242,0.963381274422789,1.07620937421886,0.0139408710850087,185837.373824597,2,1
-98.5577420602375,2.8613433921592,0.99616039230328,1.00771689631187,0.0023339140768507,218315.275935379,2,2
-101.011957360171,9.38818752421553,0.520366557018975,2.56939182287794,0.0923474279968061,93406.7075580624,2,3
-100.135070511527,67.3126862633316,0.235542636630571,9.64884312422984,0.233448474079869,26945.3392262882,2,4
-99.6206932811016,167.096123341773,0.0991348775068928,24.455693172903,0.327137508729651,11448.3176675307,2,5
-97.9361728240882,239.681384401838,0.174041300095018,20.4111312382549,0.359080104918096,14696.9114696508,2,6
-97.4512010348823,364.834803964447,0.125894812152343,34.7610995518018,0.434414627073103,9204.72145359275,2,7
-96.9649916643342,452.175321295801,0.0775145738397168,63.7998861155213,0.485846044261014,5328.17878880947,2,8
-96.4986841731996,505.198770053097,0.103977478860122,44.6976465229781,0.502076792741979,8053.13769813468,2,9
-96.1754618015565,501.398582190932,0.0696475339262394,59.4961109776028,0.506291814504132,6385.98889056986,2,10
-95.9726417626067,525.514642139526,0.0607431177756316,80.9137276559596,0.526113330182358,4942.54927634773,2,11
-95.9040079508669,565.587761955366,0.085215807501565,73.1737443574907,0.541474357145538,5738.77734112171,2,12
-96.0143619559216,662.945750482931,0.0366670240103011,221.82753045057,0.59582138159472,1982.52746660616,2,13
-95.9713655419374,683.481778015133,0.0798127960180994,121.361801818816,0.599138311879242,3789.32770480034,2,14
