"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.054255634100724,0.0552480790833323,1.85342576655669,0.0615387659379523,0.346417919476149,0.081414623362897,0.348768958512672,0.0839325576574943,11.0810507743338,0.00143452983455337,1.88252475200125,1,1
0.0355043835886861,0.0641856211653358,1.45378486886465,0.0340497022070819,0.377525603699019,0.0784912671629559,0.331665525014643,0.103528861558199,4.65319971525782,0.00398449532906296,1.11169659150724,1,2
0.0420695978284054,0.0527639475378544,1.47407526643151,0.0907455094186441,0.375714842606318,0.00340951449523788,0.2898701204856,0.0406265358403364,1.04853417079998,0.0113895139940737,2.30537887127926,1,3
0.0351479621913327,0.103577762887002,1.92684208664141,0.00117445973726078,0.397934860589862,0.34381876298626,0.313285381690336,0.0784616441677458,5.97998195322024,0.0028321351261417,2.57743151228729,1,4
0.0366261709389471,0.0737574479264362,1.3712689101553,0.0340753352038618,0.352236859672176,0.0521999983651268,0.318758990303912,0.0742496366572472,7.49024094794028,0.00252775067775019,1.46491761580325,1,5
0.0380830724014286,0.0634459488995098,1.47704997409122,0.0282866240082502,0.289386248095876,0.0561120789779611,0.298871516329325,0.0858987356960426,2.93683095698448,0.00532674490233562,1.53928875751697,1,6
0.0384895054685223,0.0797830646034661,1.07534660035112,0.0214661338212253,0.303476415112266,0.061224440024164,0.221264407612995,0.0903017122904697,3.23450577564811,0.00476856457498565,1.37515823276134,1,7
0.0393433732226755,0.0878996373505366,1.07039599609025,0.0225509216227188,0.305144180620254,0.0670421344651494,0.18730422896514,0.0743244957321174,7.63046137309938,0.00222365878558417,1.53218080083039,1,8
0.0353654497663724,0.0672971312862042,1.20475314331461,0.0207353509069027,0.203091373672585,0.0315607854841017,0.197450622893158,0.0808482475965858,9.87587236199411,0.00138722515218011,1.43433545178356,1,9
0.0346768454657595,0.0820036468182179,1.23891841016281,0.00343669288398774,0.366408916249222,0.0366815501656525,0.218859435501174,0.0759719371752287,9.2526413890137,0.00149590614232127,1.901843216125,1,10
0.0325070227602038,0.0696124758051458,1.2139050981598,0.0104033680679002,0.297320292217878,0.0236510478672149,0.297416702374279,0.0882126929259148,12.892831585648,0.000973943750242117,1.12697745399254,1,11
0.0200634324916658,0.0609191174840633,1.09025591931281,0.000749718225210711,0.288403579938453,0.0677690356422293,0.123198377382984,0.0448551473579078,12.5921805966181,0.0012188694862294,1.94685377509428,1,12
0.0280843241081522,0.116477196535044,3.11232333830714,0.0183157904013745,0.471521954784296,0.77705674028002,0.283311279893878,0.0537952713986707,3.50689309293672,0.0116081936430873,2.40189883287895,2,1
0.0164356698705143,0.109584621663665,2.99957284804253,0.0062074362545301,0.444540010825382,0.769882773649269,0.204799202789223,0.0295686507199797,3.40904392793423,0.00955734856580804,2.05276496244382,2,2
