"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_s","chain","round"
0.0253839773805107,0.114042168971798,2.06399372960562,0.0111418431542874,0.315759648942372,0.526590438911736,0.342604635478034,0.0113800211276588,10.4439501949547,0.00325661964793166,7.30251233380385,1.63808631128648,0.448892586963853,1,1
0.0253839773805107,0.114042168971798,2.06399372960562,0.0111418431542874,0.315759648942372,0.526590438911736,0.342604635478034,0.0113800211276588,10.4439501949547,0.00325661964793166,7.30251233380385,1.63808631128648,0.448892586963853,1,2
0.0193322337844868,0.109615199176296,2.69712873241443,0.0154318568230513,0.337761123533215,0.275967979417082,0.339554858307013,0.0272450004046862,10.5811457546107,0.00325974804765434,2.77945161984198,1.20875034970503,0.271069617259014,1,3
0.0153019158604817,0.110572983217936,4.80764316987789,0.00803427138884234,0.379993544199002,0.604662328029727,0.355520759127937,0.0245988420599842,8.32875117890702,0.00390559766921541,2.56868982338107,1.1873750125333,0.34707006940618,1,4
0.0297298667171966,0.11183730767786,1.63349674454057,0.0213117513568322,0.41388364200608,0.0510273418246386,0.333680472477958,0.0526259227541744,12.2218378635175,0.00257827308336389,1.34059875015811,2.0308119960143,0.293018230979398,1,5
0.0509983439652462,0.0893052068480089,1.28374234474067,0.0283763325207426,0.425162283619057,0.194876563005226,0.357692155853821,0.0803697837106502,11.352232333826,0.00342161985588822,1.71742019191665,3.56107495910385,0.560950205399382,1,6
0.0316058491416591,0.117284234935108,2.27906232912868,0.00427848158831595,0.447560698594318,0.426974304030293,0.308670113227089,0.0745124084991195,3.52828395018786,0.00721370721535048,1.83930073160796,1.64480412365483,0.388906499457047,1,7
0.037564527715548,0.096586963072585,1.3385684478565,0.00422250876990206,0.217986873247057,0.0513387177762165,0.435421392844066,0.0621807695757958,10.0886498172184,0.00214367290543029,1.62258747505374,1.63658895544372,0.498912288140451,1,8
0.0294584914835297,0.11866249186783,2.02426683026044,0.0110393086646683,0.432160101077923,0.345922413169643,0.256551866776515,0.0654506288932681,7.45927054571154,0.00399257911561246,1.23247363391988,2.2299721712876,0.57440212589465,1,9
0.0202119641671439,0.109344281060696,3.87585981947601,0.00882957951508593,0.38243884528874,0.178678665941057,0.412205987283359,0.0548114333373984,7.41712103542633,0.0044704709386711,1.49622639465141,1.4676383180291,0.532607658014457,1,10
0.0221661023365612,0.135268665761527,2.88701775056266,0.0020112699064976,0.382836618301839,0.585172689861272,0.402663293937039,0.0683813781029697,3.27036496005947,0.00921115655430234,1.41126712635635,1.32821557248047,0.546064547163762,1,11
0.0330482065578397,0.151087858036811,1.76046776881731,0.00483486596364069,0.390509448735849,0.215423686264753,0.460220365465635,0.0471607279394239,1.8748026001757,0.0124965978684778,2.72951908090149,1.48284282987407,0.438757627946394,1,12
0.0374046451848714,0.157168523098777,2.00817377529848,0.0119222013606476,0.492574555908224,0.673348595569173,0.370752498687488,0.0783887088884504,9.12881883658304,0.00363449280144663,1.48656877362958,1.34795426188248,0.297174090568054,1,13
0.0464796745917836,0.146367566525347,1.16546450378233,0.00698958376152722,0.48057817720904,0.985241414268443,0.360604800753609,0.142801702634983,8.03477902491621,0.00344705700206402,1.15722747070728,1.4531114684097,0.292599161423371,1,14
