"V1","V2","V3","V4","V5","V6","chain","round"
-57.9521304366621,4.43446884970281,0.904972459726949,1.2090868724016,0.0295100227322323,82706.8701129872,1,1
-59.4440196620162,9.44778751925231,0.538907665089098,2.21701987979881,0.0841260348997955,49615.6051514696,1,2
-49.3543123721755,1.09244808083012,0.999906102298902,1.00018781891921,9.26180484831778e-05,119977.465774228,1,3
-52.2358539220732,10.8668513015289,0.787622308488853,1.53425940153195,0.0580089293683648,84731.0862861164,1,4
-52.3009548852622,56.3595350533576,0.720301855524834,1.90719265706803,0.13015033936656,73405.8472184383,1,5
-53.0568087555546,200.108668394704,0.290973785701822,9.54873952749886,0.329728703256548,15707.9843650074,1,6
-50.5812932800095,112.938165890932,0.62102403882483,2.40858364452818,0.171577532533623,66428.4970011471,1,7
-51.491011319125,240.780804069866,0.422079466532921,5.46713854746294,0.325072122816468,31094.0597827107,1,8
-51.3151674110093,302.82356083547,0.254661291104638,10.3045067680961,0.371407197226789,17467.1820294021,1,9
-51.5201274292126,447.092819012255,0.193736977780005,23.2189745277694,0.480972014702326,8182.00565581911,1,10
-51.7336135897406,529.038179142195,0.068780773956635,124.430486088585,0.549666009960317,1606.33117477706,1,11
-51.4838793684822,505.121613862539,0.0693136751639386,113.713953744443,0.539284965381426,1845.74784886306,1,12
-50.5816217953937,1.01406325382561,0.99998587679852,1.00002824688093,1.58782951001228e-05,99997.1753634472,2,1
-55.3621552660365,5.20930491781553,0.874336953674879,1.29608511218545,0.0425309234974343,84870.741032366,2,2
-53.6770390571696,12.3170129407951,0.549809773706943,2.51074669672282,0.101693249669944,47793.9448839436,2,3
-54.2416370785829,54.0357000097956,0.269494151926052,6.88841318820199,0.21346692295995,18871.4160997428,2,4
-52.3348771870903,89.1601511954624,0.41436983353514,4.87170553309742,0.219161982996431,28736.5743507495,2,5
-52.574850955448,292.271840189043,0.10292232819136,35.0211434057979,0.420677570106774,4282.15540800867,2,6
-51.8378916592522,317.382259081086,0.0849181393206249,52.6109437762133,0.445783359282007,3040.21135629143,2,7
-51.7555844314942,412.508651323246,0.0354641317113862,102.991661337274,0.50116926704606,1649.62877122966,2,8
-50.9920069293326,374.669664524776,0.212779793006577,18.8396993138527,0.444999673612259,9553.34568791321,2,9
-50.8719929130852,501.225315784617,0.0448316619041799,117.776950104166,0.542779799462957,1612.22736933957,2,10
-50.8377623923971,543.964880147973,0.0334463758641988,166.636263120653,0.566636421794407,1199.22494159632,2,11
-50.6378082439155,517.268244961861,0.0362185004515559,137.185711935483,0.554000759374397,1529.77894475086,2,12
-59.098158088809,6.01984022240895,0.60997553814776,2.27924968171336,0.0949329980285105,43873.5262484953,3,1
-55.8946396193719,10.9164042015501,0.644434693505207,2.12160943050078,0.0953721681047024,51846.9030157024,3,2
-53.6635755748031,38.3168790681998,0.489342394083381,3.73236756003664,0.17801982072833,32150.4422272098,3,3
-52.3932448210943,112.316232825043,0.423833400504949,4.54431227153186,0.232889028296431,28606.4090434179,3,4
-52.4844676174678,170.314774445873,0.207349845942949,15.2191196681291,0.336105598680404,9198.02089945551,3,5
-52.1283597515459,245.054240396841,0.153113132063231,27.1309349447339,0.395154317564987,5527.78108076063,3,6
-51.383917575679,278.639246681176,0.0822898777755729,37.7616240738271,0.41583289518992,4236.13237167511,3,7
-50.8521380002404,323.73285725727,0.177188042438433,22.1387642682281,0.422961356726384,7677.88387156397,3,8
-50.6578696322561,438.70275829725,0.0965747773133517,60.8300845465858,0.502844762138874,2958.07857122503,3,9
-50.7220214095045,534.752203290271,0.0594064135783871,146.670441961703,0.557051191027871,1294.42801325246,3,10
-50.3071468843727,467.638293101547,0.248382153768178,15.6899009097746,0.481515558367212,12746.1168286316,3,11
-50.4811083254397,585.289150164782,0.0265832481970352,275.483837986081,0.581713144333653,761.29879846359,3,12
-59.507525429922,5.95365769450354,0.555766849855239,2.36918451856636,0.0855856036244667,42208.0382587932,4,1
-51.2243256256446,2.66856373126149,0.980296221364358,1.04021564869657,0.00870183655684671,105747.264927057,4,2
-49.4998451690575,4.58950814750231,0.989672156495319,1.02094371951493,0.00614439118828203,117538.290076479,4,3
-53.1406974877464,28.5845501640963,0.552528360324505,3.0325563475382,0.153571570128515,42867.4532407447,4,4
-52.5243368800338,76.6779873692904,0.644263739129393,2.34790944020526,0.162151680584408,59626.9386219141,4,5
-52.9114299660682,229.000831436681,0.0933038877555484,40.1058554240477,0.401161948722855,3739.12717478034,4,6
-51.2139972008516,161.316322731627,0.338486110935547,5.14171923883278,0.254600516313441,31117.1907338908,4,7
-51.8671621922869,364.007945054289,0.176662147595533,27.5959878958872,0.456716666775019,6159.35202236368,4,8
-51.133485379814,360.321624359424,0.0561407956015193,61.1601563501811,0.465391247726883,2942.1088866934,4,9
-50.6977832279727,362.713693179075,0.232574400752225,16.7200923886669,0.438436855579762,11362.6333759762,4,10
