"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_s","chain","round"
0.02241505111746,0.0869523831486781,2.49685676957824,0.0527211508758843,0.315191211274911,0.0377185009524098,0.316931104302353,0.00592455189369095,6.45791362157263,0.00657541267863126,13.1103390454451,1.99409085829883,0.42658970154227,1,1
0.02241505111746,0.0869523831486781,2.49685676957824,0.0527211508758843,0.315191211274911,0.0377185009524098,0.316931104302353,0.00592455189369095,6.45791362157263,0.00657541267863126,13.1103390454451,1.99409085829883,0.42658970154227,1,2
0.0414629791756147,0.109808602157649,1.11660009285886,0.0428490405372563,0.34332371176483,0.0920724361887913,0.301352371777604,0.0127898288653874,5.07825832022986,0.0089521581097996,11.427834591902,1.7804757449328,0.58049825772213,1,3
0.0492385935520229,0.0990123327782959,1.08652242941819,0.0675247981917375,0.297503523410197,0.0369865366075606,0.2466339865286,0.021180886433872,5.99601141127477,0.0063894522863296,9.58342870955039,1.85111944793174,0.389240354270382,1,4
0.0601114239927479,0.0905184001847165,1.0612694988303,0.0954925143325942,0.310309597996002,0.00349392051256586,0.245829366318471,0.0228499972976757,7.20679453564279,0.00424905055980718,6.46454145834439,1.66541886295771,0.201936302853969,1,5
0.0368375844106967,0.0832767909000252,1.53798601665038,0.0405264255703329,0.291036622243022,0.165762460584934,0.349134545584043,0.0240281462648268,5.2036932645437,0.00819223014066167,6.33152790764673,2.11202908435945,0.459948213833414,1,6
0.0392028633616655,0.0991244448525538,1.32619283746595,0.0439684688394471,0.26503147018217,0.0690940275086861,0.381141021619164,0.0114160992173096,9.88361377065334,0.00375753841432208,14.6189967175436,1.4861738762981,0.482184206285637,1,7
0.0343893202670288,0.087264532110334,1.42938775926901,0.0495617805823722,0.27808385133763,0.151679426161924,0.442614122633168,0.0102611919961779,9.19886123388143,0.00425302013688264,16.5135989450102,1.38390376993162,0.289334446706401,1,8
0.0433669616631035,0.0760444048369844,1.28209318025128,0.0434832803865364,0.310213242018911,0.306892436409589,0.466273360091456,0.0116264942214734,7.40960507862702,0.00438392992242681,15.9314892303451,1.47131501887078,0.136786933989196,1,9
0.0315799025399171,0.097498430376474,1.32486490636243,0.0339845356859249,0.272184604517243,0.419627166630036,0.433369815472926,0.0114173437449893,9.5612752479217,0.00440400816200104,15.679065098398,1.12600146776636,0.194968006692266,1,10
0.0353146563273275,0.0924595243387384,1.30604295944335,0.0302046066343162,0.244055952848975,0.690441512895208,0.378393027226378,0.0101737317682066,11.0733583809304,0.00254931182263338,15.6362686409958,1.02832990050939,0.00243657313463316,1,11
0.0418441001587402,0.0690414585348584,1.24496930770648,0.0504686681532591,0.245250346302985,0.326742588400651,0.433343934992398,0.0132387588343777,11.049668096088,0.00299164020912647,9.36379451434922,1.70752114894032,0.136417604767714,1,12
0.0379188868879461,0.0794257411184957,1.11222590514837,0.0279134792846368,0.250552544275572,0.807711352506511,0.496785159735253,0.0150664908012728,8.13991617085031,0.00402855650096277,6.47616673397473,1.44062204362321,0.12454325048869,1,13
0.0504897904673274,0.0904780381141168,1.00706067940233,0.0283725722683598,0.253857684905622,0.770696220870224,0.450115735189041,0.0179208920882335,13.8420745847502,0.00246583678442363,8.11495076153502,1.61237104959195,0.153966240108226,1,14
0.0412475022126376,0.0941302705255302,1.09600003657175,0.0237767279921732,0.263237885304349,0.839376820785811,0.492034939179962,0.017625357360462,15.5174921578415,0.00220393484270872,7.71759050402643,1.22549888753821,0.0938464604022455,1,15
0.0606270295160409,0.140200080846663,1.0883539891587,0.0288172610883572,0.409103563890778,0.635539245782234,0.498340657173211,0.0164296713990427,10.1698529872327,0.00367148873706457,12.9543001154007,1.00222994231092,0.134568782325872,1,16
0.0275390221319722,0.169110891559363,2.53178557122174,0.0212484532596741,0.34070600651227,0.724576252051409,0.444112674002484,0.0134755790610804,15.7313867610235,0.00340339532830508,7.58218343951482,1.219180668081,0.552156707514032,2,1
0.0357886795596788,0.0782473078761473,1.16857960262871,0.0291459288380253,0.382378611936882,0.551667449502429,0.281899716377769,0.0332527369378688,2.83275925907453,0.0140557544603753,8.22547769558988,2.67261282366442,0.513598221229912,2,2
0.0594835380893685,0.117030558134053,1.7573948873435,0.0304129231149727,0.36388663732422,0.495514329719742,0.448971664678695,0.0429625583670202,10.8172543628904,0.0045363758673507,6.93899525915068,1.6202229082322,0.721623305743171,2,3
0.0378542547733594,0.104881825916288,1.05260754296217,0.0208256763940607,0.318153755635018,0.785221310905381,0.395673704506743,0.0123704291693845,11.138575581874,0.00605803963719442,13.8721045060659,1.32662349714798,0.712512073901919,2,4
0.0460472751300203,0.0823716258463382,1.34999680585456,0.0229279509887249,0.284889652716846,0.921245238818034,0.406911180919136,0.0218270874790798,9.3867256123136,0.00529760396998105,11.3711202000456,2.26889632340512,0.53057889467339,2,5
0.0330464964485899,0.103298778197819,1.68445902502965,0.0269296645780991,0.37963939693187,0.501743861565595,0.347064182925827,0.0136470520641094,7.79477889566828,0.00604133407746237,10.5331987185363,1.81329983638724,0.449827154935608,2,6
0.0379044100938963,0.116402024236583,1.34558227100518,0.0250674353339198,0.396292283421186,0.69765093178666,0.349658229523458,0.0369867064393331,6.17730336532333,0.00692102030273982,4.20767003800399,2.02925249387959,0.491557149031155,2,7
0.0297503486092976,0.119062723504679,2.02270138111606,0.0260052624502477,0.440015313117093,0.738647887883295,0.31114447685977,0.03333127994815,7.3814870870558,0.00711875023745919,5.19369106690328,1.19262886409527,0.265007430091783,2,8
0.0395772539641029,0.103734970920342,1.43595326839157,0.0312054352388278,0.299867252987161,0.591863252496655,0.394993349334825,0.0145990503185574,10.9932821137781,0.00331784058906149,9.56330543596893,1.35047551877607,0.106917176279181,2,9
0.0582288728089319,0.12354284648573,1.14660767443023,0.0327759957487551,0.359075915488277,0.655261134769761,0.494303144067352,0.0388860024054272,8.10407014273719,0.00407900531324328,6.19519284000773,1.38980914352177,0.0610956973924786,2,10
0.0373839262682147,0.0763662853325033,1.50487296495823,0.0276101305511299,0.322808656613072,0.773811437174892,0.35247585547003,0.0261856379660894,15.7877633724298,0.00243953901318017,5.82080717140648,1.78271081084874,0.0877812819863103,2,11
0.0519664992965998,0.0795100753297046,1.03444262716194,0.0330052850817471,0.340477115537391,0.590787275155094,0.332466620185802,0.0375729670095257,15.960083886083,0.00221322258107099,4.47533478761717,1.59900714595459,0.0800037138806022,2,12
0.0428018410290801,0.0785312496192588,2.01154569991715,0.0352069073478117,0.261917473438047,0.581941559647896,0.4290381754128,0.0196546163923625,16.3546061774876,0.00211911629925044,12.0490302040786,1.27687343627936,0.108256145882411,2,13
0.0510572514081326,0.0918473017149579,1.0381400427969,0.0287057558991659,0.372688144627096,0.662254741153121,0.484008760028968,0.0278144403329828,17.0360278846846,0.00186529671404126,5.75326565361862,1.32494797071799,0.050456930285772,2,14
0.0471046448255061,0.110084044749922,1.6762639915004,0.0353875711855536,0.437570979593591,0.402270109379293,0.478385556458753,0.0328209719999041,17.1251806757969,0.00249747880724993,6.05754397198306,1.48820439081628,0.19640738926577,2,15
0.0412662030018269,0.1338184699607,1.20971238638388,0.0382157663608288,0.361091862699953,0.325797713721366,0.475667164153103,0.0203584008222658,13.541003153236,0.00283992059756871,8.98838457351172,1.01362086839495,0.143263797872647,2,16
0.0197067403791857,0.145661431435516,7.8819114987297,0.0234796301040819,0.493456911076296,0.884142851470079,0.394767329159409,0.0136261093416519,5.43060095924539,0.00680551121018932,10.2774165838277,1.31856548339932,0.20562330232974,3,1
0.0229789698883444,0.130339801606448,3.58532454244481,0.0372098229103878,0.451138266682526,0.446747381244367,0.442894160760521,0.00647485119429359,12.1527482670364,0.00370583149331878,14.3267825351598,4.43294202152752,0.673466437338321,3,2
0.0412105028572018,0.127117574858356,1.46954645456886,0.0251882819013445,0.452012588029916,0.626935585256051,0.440310693723325,0.0166441937013217,12.3219149740589,0.00454826519347552,10.3285411980102,2.88206428517311,0.588890575678273,3,3
0.0537423510868484,0.115054548007647,1.11478205825895,0.0289571703988406,0.384510430435948,0.654414903429337,0.374020442822629,0.0248941148324754,10.2804754456266,0.00439383158862608,8.24873111042969,2.02253399879399,0.370211246983482,3,4
0.0424755572330303,0.103099983494534,1.0664199566604,0.0287442462147042,0.326440756116148,0.523367491982311,0.309169365471179,0.0195894714528685,8.45738150909751,0.00556089450106996,8.26989058218202,2.24602604684808,0.517393323073776,3,5
0.0433633688364585,0.134672643578558,1.38418208759926,0.0239744392406398,0.364939242993927,0.795550015512378,0.425293047031028,0.0328173618411951,11.5784976354981,0.00400232764462925,5.83209505166726,1.28300824747117,0.360521209937673,3,6
0.0250909914195341,0.129337676228975,3.37211519182538,0.0240007652242949,0.486462240342026,0.636607497089692,0.494947663097752,0.0165339887130894,10.6295776171019,0.00476914267242299,8.58100026843116,1.49815066283645,0.443300574726273,3,7
0.0460381359707607,0.108553139605195,1.16759582783942,0.0228935967626002,0.370556095144518,0.904183342057701,0.419336741917202,0.0271201644966905,13.0919435882014,0.00317524530784591,9.23904519756999,1.89345710429396,0.38385646310064,3,8
0.0411737613731776,0.148322180871976,1.28813928425994,0.027412041122727,0.413586838821317,0.791687591975578,0.336914240278924,0.0273771597670024,10.7220036516668,0.00397473034472427,8.01555277529103,1.05081106829746,0.171208270004144,3,9
0.0336511291906727,0.089243859229409,1.76849760444055,0.0212726445143754,0.345405866104184,0.950376753360471,0.453140431281841,0.0318468611122198,11.4989605472299,0.00353198550608536,4.83773124163178,1.34347608578594,0.159278878757952,3,10
0.0398835007152014,0.0994700398509253,1.74460448017889,0.0267075009360404,0.341341018154593,0.803836912154399,0.274681079023687,0.0165058113580505,12.474164570079,0.00285090435033837,10.1177022841159,1.08292720811093,0.120288137959919,3,11
0.0369582291455976,0.108195284526336,1.18419000038464,0.0243291859220038,0.322596011873597,0.814431268190427,0.356713843124153,0.0190417590090265,13.7004197592065,0.00244717115996961,6.34989412418145,1.64498945517071,0.149769503292181,3,12
0.0370067384107461,0.0991708117607818,1.40543783915897,0.0232609885789906,0.289765871511452,0.959208294917369,0.346683393932522,0.0333480374530113,16.3088309536224,0.00209096026316424,4.60547355711891,1.12658489200956,0.0516022962191643,3,13
0.0409511876395889,0.0930489729104677,1.1566368120724,0.0279368873590674,0.296520859790094,0.61430159857697,0.393697264643629,0.0231779998537331,9.46775017049232,0.00430201681433406,5.33844087919372,1.34690521159454,0.169325592929522,3,14
0.047694896794199,0.120725497438586,1.27506425458198,0.0337158359195251,0.394156686180415,0.679098476814197,0.326884765175775,0.0480859826811361,8.43909850530368,0.00400032447706384,3.7835509117904,1.10717330910634,0.0283555450434669,3,15
0.044229875812918,0.0912906593502397,1.32989028501751,0.0312860037578849,0.216774204488144,0.692138895925632,0.347782136742036,0.0477758257853207,14.5539236220257,0.00248553565514054,3.45791785425592,1.68428894071676,0.290853400161066,3,16
