"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.0401992129700733,0.0880301202496542,1.73474423511154,0.0220481829059292,0.450330401551009,0.0548638781362795,0.481351341814682,0.0464757601754542,4.41247543896756,0.00317681027738284,2.19877685186434,1,1
0.0401992129700733,0.0880301202496542,1.73474423511154,0.0220481829059292,0.450330401551009,0.0548638781362795,0.481351341814682,0.0464757601754542,4.41247543896756,0.00317681027738284,2.19877685186434,1,2
0.0376483497752279,0.0876968481890213,1.22064235773672,0.00720905699129055,0.427499453450151,0.0741625935337981,0.432494540854635,0.0609035948821913,1.94051290678386,0.00920171103937833,3.32448798368285,1,3
0.0491440276957644,0.107863891790368,1.50945955989466,0.0164293438525447,0.462658802705066,0.0970425833664364,0.43171585440571,0.048322545267688,5.42723692372668,0.00310982476616942,3.82329641690654,1,4
0.0631808943213222,0.100790153173304,1.20008860732376,0.0422600883586206,0.401116174619649,0.0256933067008995,0.49163872731963,0.0641937029424673,4.70557826659161,0.00315683405642883,3.69070515388811,1,5
0.0571449451894059,0.104144592210719,1.03767742611994,0.0480223836199319,0.433329464595183,0.0337302917968036,0.469888142012927,0.0943751213065632,3.5910570206792,0.0043891091073562,1.40556314458805,1,6
0.0625100725992953,0.0787446693637874,1.38592678653301,0.0584962860637814,0.330230994486124,0.0364052008235576,0.428733695555649,0.0807487401392587,5.89183825300446,0.00256070957567433,2.16252731114759,1,7
0.0709804612772198,0.0929574502716297,1.20227517815864,0.0989517611358961,0.336179553659247,0.00519392519484525,0.481419119815424,0.113280537281343,5.52179702828953,0.00224637072147663,1.36987849772729,1,8
0.0585458958392524,0.0917539828551284,1.02521477902528,0.0797832594078939,0.297178438169898,0.0189494234325734,0.489798592386301,0.121934628901375,6.68931439425663,0.00200445821086166,1.03571270306954,1,9
0.061760948274215,0.0937372661309473,1.12065091789366,0.0768939517091558,0.3120918813174,0.014510353466067,0.459897000586956,0.15226892720019,6.96516646669921,0.00199916245605355,1.13811355134501,1,10
0.0576371320675614,0.0991476489494948,1.02735636067316,0.0460663215438053,0.388638941115644,0.0237206287474843,0.472122111080743,0.14455791508293,5.62139778322041,0.0024088155568642,1.08087918051716,1,11
0.0534558564863482,0.0601063871281348,1.15408719383901,0.0564356970722662,0.250377282257572,0.0261594667008077,0.473497319351649,0.0930038641510273,7.18390102632142,0.00213130667920656,1.38436131306333,1,12
0.0438266823936556,0.0597259322277005,1.42551211753431,0.0671515259401174,0.253975091683681,0.0492207415343961,0.297282535570469,0.00875925673552963,6.10910950382738,0.00215719665686903,13.5705316024406,2,1
0.0594065992243643,0.0758016112712041,1.49331972376763,0.0850107477038954,0.492496997898759,0.0289735391617295,0.382301452560486,0.0161411753291594,2.27786428550203,0.00707090206520832,15.4786657718484,2,2
0.0476081687499327,0.0713395314988401,1.41485691372438,0.0606849375146256,0.374711496377605,0.0321513946738754,0.252238118746553,0.0125282871480499,10.6260172204417,0.00168193776754506,12.9934206170905,2,3
0.0433148406307994,0.0924063613657668,1.15193198092789,0.0471819973192115,0.369261297277324,0.0170775373877273,0.203839879792511,0.00887300247852812,7.90852019547845,0.00172154921743496,13.2514922839809,2,4
0.0315246781597177,0.0698897436905278,1.09962710945384,0.037414803919823,0.298775646610137,0.0212820758048213,0.216400562411921,0.00767864968043268,4.41974848963818,0.00350769986360936,16.6184199046489,2,5
0.0319577742626056,0.0648409583249955,1.06582902466128,0.0238037264691399,0.291762082579608,0.0444446935425838,0.164060717807912,0.00969954303940318,6.44567870736501,0.00236951831709204,10.9534375845001,2,6
0.0567866816154032,0.0985921794270655,1.06814149668855,0.0615838823831209,0.485347339668035,0.0289142272402694,0.163957791029943,0.00995308877694676,15.297746020751,0.00109231340438031,12.5394653528992,2,7
0.051603429591498,0.0862080471742913,1.0132052168718,0.0522236991767391,0.348119663152379,0.0275578135790428,0.225192871414371,0.0108820141933257,11.686905115251,0.00132759014363132,11.3765030078606,2,8
0.0523880428665045,0.0859349835272758,1.23059614338496,0.017348591378173,0.319182589239465,0.0314409573488311,0.288359845952363,0.0155140544270721,6.94601556136834,0.00198484829602006,14.1213445198284,2,9
0.0584133103475378,0.0872798511554901,1.20768190065412,0.0699565201555721,0.387559832008743,0.0132705881916433,0.32551432863723,0.0120422487046324,14.8468390680366,0.000817761867382205,12.9973219629562,2,10
0.0565274256133835,0.104868834188912,1.00190473976499,0.0522227339724206,0.379249706413886,0.0214209718133146,0.334502974709148,0.00954799377092544,4.70747064464585,0.00279857724254637,15.3254922287798,2,11
0.0588098491314055,0.0701889709834423,1.01918590839017,0.0918015395047281,0.305410154633426,0.030201114060926,0.314194070918327,0.00683457287783302,5.20914121873878,0.00311439961148225,17.0062109078588,2,12
