"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_s","chain","round"
0.0370173331338491,0.135839798637551,1.27820604709139,0.0122884520135871,0.323472982205302,0.37910221155221,0.376072742259831,0.0685009161868645,2.75437995436844,0.00917260962284636,2.87719632988704,1.14245301172357,0.242713232003275,1,1
0.0542877229677035,0.125191077510598,1.02267767604102,0.0569932175637461,0.436297986005488,0.269502948829808,0.364314877783446,0.0249009468671456,2.78465270664802,0.0194951504088949,5.12767522024127,1.61196129057699,0.272073421434545,1,2
0.0492276951522636,0.112191618701163,1.04619700543982,0.0937603291365958,0.412733289534803,0.249817164199789,0.490271311365838,0.0281046571634949,7.12831921740683,0.0162191769812275,9.05179935141454,1.34426437569285,0.426508347392121,1,3
0.0321381861284889,0.129747728904772,1.38530053952733,0.00913191805716226,0.439775107540754,0.34918054044255,0.341280270765258,0.0365595861799815,2.26491966752246,0.0137849330437504,2.49348401705161,2.42091563213771,0.517360226028852,1,4
0.0205291026103668,0.0971329849584027,2.55288164747519,0.00402229336898616,0.458968723456077,0.321427663274489,0.352304176114906,0.0631470296245858,2.22416233553325,0.0165108363186125,1.59389007694365,2.81528841213781,0.791175028967653,1,5
0.0246806468749323,0.139113717230386,1.73254598538436,0.0203879348604807,0.458065731973827,0.0769241298677413,0.241712945432861,0.0337345772137974,3.44325458965968,0.0132417285594185,2.91964808917557,2.21475732405225,0.791821153079409,1,6
0.0217464592842192,0.117820892482917,1.59690076327847,0.0160251488150553,0.408038459151169,0.23254736081005,0.133611841817757,0.0292956425041164,3.79477979889918,0.00869243972118293,3.30932922590723,1.30020661082992,0.330056756325015,1,7
0.0319282386746919,0.178744518894733,1.29036219062762,0.015675289738945,0.480899062539753,0.102226240388192,0.252527618863224,0.0354291930467704,5.11290145759412,0.011104520755785,4.63012565475664,1.42536949752491,0.935654637363461,1,8
0.0286783609810332,0.161222290881735,2.05129571185012,0.0274732149731996,0.483639936264201,0.291249011984317,0.447325123410907,0.0186046081406821,2.93401880265656,0.0177779051127281,5.83999522414824,2.32603860060377,0.681191513278944,1,9
0.0217947879724059,0.158278524838076,2.52605958940146,0.0210631347497987,0.465736243568024,0.541860825733879,0.304730803030468,0.0253712210086423,5.27627693213512,0.0124613190873978,5.04082628844651,1.15228944419672,0.704523966600997,1,10
