"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_s","chain","round"
0.0300314225534496,0.145236540843173,2.54337367092855,0.0605208414987752,0.432687530954178,0.0121305199984205,0.306172676007968,0.0666139944680838,6.09317653478156,0.011299411908647,1.38609496016849,2.31408752188245,0.87799969971527,1,1
0.0563798828675457,0.113669324532458,1.48013335485757,0.0586890711109915,0.368210557585989,0.378689701171036,0.457040539268183,0.0611830560447729,10.0256623280346,0.00809327589058349,1.47838954689334,2.90621342116926,0.86935119122048,1,2
0.0302236414231526,0.12818290686683,1.18803057939844,0.0204419872203138,0.429478485371263,0.172129094097717,0.348569028479202,0.0575332986767235,1.81723085579938,0.0188320496434574,1.21021203163548,3.10485180390177,0.786626387381402,1,3
0.0347753394568905,0.1347640844665,1.89774076466825,0.0343729743659021,0.4978932374599,0.358148755432223,0.404588808106021,0.0896754351506775,3.10600679249152,0.0196052542523571,1.13438224901388,2.32048928286628,0.60469193601832,1,4
0.0243437360123312,0.12389889898808,1.78237129019686,0.00348318566047723,0.377180803037386,0.284535145005647,0.339937004546047,0.0612205294809559,3.63803015970811,0.00747186597784452,1.29550540097514,2.70967980263419,0.865510600251719,1,5
0.0320939579398984,0.146300738608252,1.81376737677152,0.0165480558463731,0.469282029173733,0.0361454850673563,0.343676201228485,0.07661648701569,12.2646922500312,0.00335264483541988,1.10346072009549,2.41025689641948,0.897014746869914,1,6
0.035406869602741,0.12736305032048,2.74420574358191,0.00913903488394952,0.418046238444714,0.266563015693841,0.463846591922575,0.132988706125355,9.945111911859,0.00320511618895826,1.06380058716155,1.98189083075128,0.749826352401249,1,7
0.0245498844477479,0.12813362616154,3.59942101771088,0.000614531653319818,0.410858762398528,0.0680323116353218,0.446269466206344,0.174232020806791,10.4985306855521,0.00238008648338533,1.06229784394963,1.7156587540245,0.738573631740725,1,8
0.0373614678625892,0.111358486275192,1.10577905001977,0.01978840639843,0.349490405711984,0.378943689517669,0.311824960784909,0.0714535404000925,5.68555911916135,0.00750375548030914,1.20374776504277,2.22505727346066,0.669340462246447,1,9
0.0267415747610144,0.153667623445835,1.90914417730345,0.0104453250332752,0.486506863533182,0.175667999588631,0.48344669224539,0.0662811142327354,5.61006053987119,0.00579449883188013,1.05608992104022,2.59180974751895,0.911121278142146,1,10
0.0214310150982086,0.151649150005709,1.8116623065247,0.0105509958692461,0.445250967267568,0.128912813740879,0.432847285303694,0.0489633007696645,3.12812019603662,0.0116077950576661,1.43830282085279,1.48686405227302,0.55011004841967,1,11
0.0307234644488054,0.133666387849173,3.11571797995965,0.013955168985299,0.443486378887381,0.330717298320212,0.463942640444036,0.101371510622286,3.89553805556722,0.0135781051150028,1.07635831597188,1.81859387947778,0.991108902518591,1,12
0.0330655564711892,0.122291899930899,1.95078080807409,0.00524629343815037,0.4114448765806,0.481166006264416,0.355876863062577,0.132090419889233,3.69988951959609,0.0074409545135379,1.15519842466661,2.92690208790748,0.904348250945171,1,13
0.025634573483432,0.0931922178112486,2.04153372735559,0.00292003331137091,0.24365964793659,0.204775643383581,0.367433166786623,0.0823792640817612,7.7047001646377,0.00337290219276355,1.20646033267349,2.19785312340478,0.95758935586577,1,14
0.0235247710384331,0.0955587977687571,2.44695529731037,0.00200940791111695,0.217104997580725,0.0715454435572405,0.369043307250387,0.124845932868524,7.34758515154749,0.00294762187740081,1.15955091690688,1.98779720215932,0.932265305021354,1,15
0.018439546447902,0.0837579104617451,2.7894946000421,0.00217031380983265,0.260420622047326,0.532799472522258,0.295510089226136,0.0924840859089602,8.96146031093901,0.00300548825736912,1.44592244710624,1.94861290445513,0.828077835373875,1,16
0.049821739435574,0.122165077010436,1.12927073191619,0.0587144971327055,0.456080559457445,0.181866205827178,0.49191111857307,0.0556023552741043,6.99546468211922,0.00725505062851054,1.99391278310841,5.2842684567532,0.861078484618958,2,1
