"p_m","p_s","a_p_m","r_m","r_s","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_m_recip","a_r_s_recip","chain","round"
0.0449881564932519,0.0505686293942637,1.60262509162052,0.00180555454192567,0.321323816437142,0.342316772511342,0.137958417359958,1.59261773211354,0.00843680008712213,1.48710509153886,2.61682955617365,9.54474108132883,5.96114735442486,1,1
0.0721770138329589,0.125474372905373,1.0163760002659,0.00597821883204123,0.386091786927217,0.384859230571602,0.104041098353198,2.16364008279731,0.00866712120883741,3.39555398655501,1.44278986025769,11.3742742136372,5.89950601637539,1,2
0.0319126934517595,0.0746754752975647,1.87221729875726,0.00815703709664063,0.322628768743098,0.328345423813564,0.124909672067241,3.14688965684224,0.0059274707390419,1.55760454617556,1.26105716149322,9.78641249838908,6.95984958758046,1,3
0.025709123313479,0.111971862588661,1.98343491535184,0.0022835872233311,0.317767701378669,0.325846650976865,0.131079876514006,3.4965517084952,0.00452793640498026,1.06933983961327,1.05284069242292,9.71231841699823,6.41735807286618,1,4
0.0193273567895821,0.0578908798650613,1.93133167452578,0.00048181452679914,0.170423484409184,0.356648745509734,0.0898574176746157,2.01850337182508,0.00645769003311899,1.14519247511187,1.51181130927784,1.83747644356046,6.95294407551641,1,5
0.0264991723017784,0.0533960996793145,1.85413874748167,0.00141580241079009,0.160774754570142,0.420590873529279,0.107958369070565,4.444082745791,0.00293091849574277,1.08353427185391,1.34721803716479,3.94626799709664,11.420158637052,1,6
0.0297165673014424,0.0556425043143844,1.3862012233374,0.00786629233561504,0.135953791166398,0.402537349123225,0.10103175595044,5.29096841879979,0.00264674672348808,1.24967902498622,1.38991101551452,3.22035889350496,14.9142413332427,1,7
0.031370153096342,0.0743343122388711,1.44699039426003,0.000489278912522819,0.217786335904797,0.342933189551591,0.0947881998867738,4.44376905874965,0.00285998330160289,1.4290632813179,1.37114572208965,2.90958595140996,14.4918545218484,1,8
0.026740639434186,0.0756759738884922,1.59661519882503,0.00363260826022016,0.182434861608127,0.462073665846171,0.120145463387244,5.88002787506192,0.00225620988295398,1.10161780772915,1.0229673512,3.22738981342282,18.095433122248,1,9
0.0305924088420214,0.0644885897087025,1.13460294030322,0.0182642401116992,0.192421172478806,0.430087979629339,0.0870475365906327,5.8728711080739,0.00320451295946301,1.24246390994468,1.304514005733,6.4962252914431,6.96864497330433,1,10
0.0274487838259796,0.0506023734069752,1.2878031161738,0.022548884750955,0.188921521655115,0.212890101423913,0.0713126787367585,6.14226868354014,0.00297705137092786,1.45814465500978,1.1680613032728,8.14913861532422,15.2195827781443,1,11
0.022650609089495,0.0340109719066548,1.25919087730359,0.014187240795277,0.111992509304959,0.469493900513478,0.0625211665717639,5.6360431611124,0.00239257425209016,1.04089284338486,1.76734260728666,9.14069642972583,12.0418383408834,1,12
0.0289322988248415,0.0554363083856622,1.42429388557396,0.0126387769707463,0.151207418455432,0.244226989619722,0.0698664566063884,7.33170109069401,0.00192091411986958,1.14298796803785,1.19315254176833,4.73229725812593,16.5017401872865,1,13
0.0270241190729257,0.0479153106930933,1.00647548303643,0.0181727694036224,0.138810251261721,0.460994413550027,0.0485814736340879,7.92449276989155,0.0017895263618273,1.26582851329816,1.74597469718793,14.0916420574138,15.1104574312748,1,14
0.0326963221508832,0.0649695934997344,1.09041328995236,0.0299336530149951,0.138685250129824,0.335768587949811,0.0804317890585275,9.57783377082204,0.00165352785053092,1.05102578508453,1.05724735700548,13.1772060641618,14.4197842700826,1,15
0.0252964975240928,0.0499493164049641,1.49380592489301,0.0252642716575947,0.139062607090367,0.342588970655815,0.0778249928881682,11.2644118974658,0.00143969906315139,1.08484714909211,1.26527395931421,5.45252973623874,17.2493963034972,1,16
0.0326021887265099,0.077353876961584,2.39885037316749,0.0119524601617295,0.415675366819138,0.321983396508915,0.171879167745248,12.3582022442285,0.00247269244699925,1.20782541537458,1.13184274030145,4.33875331042656,7.04435445053449,2,1
0.050874324429115,0.163420260478625,1.15991341166643,0.0391945430024785,0.282595261075422,0.413377486966999,0.101866009877935,13.346895272579,0.00107370303818479,1.71826264014029,1.52769283231874,13.5699257773416,19.0705191992642,2,2
0.0461671750432556,0.105927496696615,1.90931764702876,0.0369135643877996,0.40502880801931,0.324946190885211,0.118783392384234,13.2727281503888,0.00153088058128097,2.04818428548804,1.4342588067272,9.49726403346765,9.36757303783894,2,3
0.0302366280131479,0.0813649665318616,1.39222065353756,0.0166653660878952,0.349267514828264,0.237459332672311,0.0983601568135692,6.501342870211,0.00322197580582305,1.30945501624382,1.54233471634811,2.48191400160897,15.4944915086945,2,4
0.0401027267322787,0.0917264472025451,1.03124827636517,0.00980649791310341,0.290159270876292,0.275293245821623,0.0945518824983579,9.97468108296658,0.00185438655144408,1.61717608000664,1.16482696228139,3.08903809583092,16.6374711854566,2,5
0.042184098305299,0.0882077121049679,1.40266800769345,0.0028728832519352,0.383636993600262,0.315339356081729,0.0990784961780033,6.92466147649081,0.00240650737452755,1.9489285137605,1.39814444433644,10.5430118870121,9.88698192638616,2,6
0.0306116828625286,0.0912013340451878,1.12966486226404,0.00478107941390562,0.342490103923033,0.345562320303252,0.0866944841346358,8.98207579321821,0.00201232976103623,1.59037394783974,1.05254141782662,3.8341873439465,10.388145771213,2,7
0.0313087223544883,0.0667170811444061,1.51854500056204,0.0155478832723685,0.230785804088209,0.256256188692696,0.0728179489373037,5.8989466407797,0.00288128916776454,1.87413242669214,1.56172447612121,3.22925699361399,15.8645167051939,2,8
