"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.51049149696785,1.02854534944543,2.43376019693721,1.0534820101412,1.09674230407427,2.04753498424544,2.26555248310183
"Cambodia","a_p_m",1.50338899646697,1.01997000442983,2.66163285287676,1.02501137486598,1.06825062410514,2.11161812839795,2.52154025489442
"Nepal","a_p_m",1.73033311845459,1.05456572114614,2.77013754522718,1.0814602942804,1.16988506915576,2.34691625521559,2.56782864025213
"Philippines","a_p_m",1.20719195025429,1.00714817626981,1.61795642979603,1.01496818320515,1.03077224785122,1.42902122666837,1.5302251666931
"Vietnam","a_p_m",1.66962203064434,1.03621299922072,2.79912888708838,1.06566299875051,1.12879183773933,2.35492149199565,2.54550328090612
"Prior","a_p_m",4.06451850279433,1.12993611419337,9.21940427896282,1.25417567445039,1.50506578560606,7.52116171309268,8.5669870175424
"Bangladesh","a_r_m",0.467376802513087,0.173669093387441,0.878818458565997,0.206688242993161,0.248859658530062,0.731969083322793,0.810738992166841
"Cambodia","a_r_m",0.298103645207553,0.0455531298288531,0.815411323042761,0.059897760592485,0.0738560994662266,0.617815589858636,0.717708299016307
"Nepal","a_r_m",0.653114136229884,0.233695233730463,0.978148427689783,0.287095043979005,0.367101611696566,0.922130490855822,0.958411444963897
"Philippines","a_r_m",0.0591844808369842,0.00695569068265117,0.180248907160442,0.0108756362793797,0.0155418198753681,0.119016613086533,0.142883640335252
"Vietnam","a_r_m",0.49871201231219,0.103660880927049,0.949550892067735,0.144307831566249,0.200297432437219,0.856586478603713,0.909236204743582
"Prior","a_r_m",0.453816017153347,0.0202705872653629,0.966102347356504,0.0398924792760377,0.0791648039761256,0.86647912049908,0.933529744669678
"Bangladesh","c_sp",0.41148954555476,0.273512894777331,0.495653001552395,0.296000740854406,0.325847507716995,0.483403497402699,0.491049437316982
"Cambodia","c_sp",0.357356128101058,0.177457945572367,0.494466879440692,0.193920686281142,0.235181857919438,0.469098064850013,0.484727806650987
"Nepal","c_sp",0.35363808628651,0.168583550269914,0.491976496995185,0.196206986207597,0.225674854232428,0.469450776316855,0.485399391731773
"Philippines","c_sp",0.331846179608502,0.152864444648646,0.48626582811742,0.176557013921214,0.199284837215455,0.458792192134905,0.474398693508238
"Vietnam","c_sp",0.291753922614336,0.132967276617656,0.478133929723117,0.14762445955072,0.170609882739461,0.434335187822673,0.460534893410985
"Prior","c_sp",0.250030275734821,0.0128301975204313,0.488643463455371,0.0255101673274284,0.051343858911912,0.450748172787623,0.47610080813174
"Bangladesh","c_tx",0.0121811094471116,0.00556913906657595,0.0235244475346824,0.00614400695432319,0.00694644012167958,0.0189545608308762,0.0214064200425163
"Cambodia","c_tx",0.019498856145925,0.00847044898985896,0.0389000795746986,0.00940953894331451,0.010635250778671,0.0305210225677852,0.0360688463812511
"Nepal","c_tx",0.0288665840784762,0.0127142623976068,0.0521222466024255,0.0144529377716884,0.016808838595673,0.0423546446219501,0.04765576523274
"Philippines","c_tx",0.079398507600966,0.0203945103178616,0.150343324398937,0.0299607974887367,0.0394972846477577,0.126343403583224,0.13926642935123
"Vietnam","c_tx",0.0275488320926857,0.0134443876446308,0.0431397311017307,0.016001537520735,0.0183666916287651,0.0372391613266255,0.04070245139473
"Prior","c_tx",0.0640226425525021,0.00172089539341527,0.221052455144966,0.00352766800929035,0.00717619963083766,0.155803372212694,0.193709151238183
"Bangladesh","c_tx_m",0.0967245500951385,0.0713400611839526,0.130384794072681,0.0743528567379653,0.0786484193732965,0.116594437658506,0.123007082144594
"Cambodia","c_tx_m",0.154804999631657,0.108338434319265,0.219180157834798,0.113000305644881,0.118510091825124,0.194509649556507,0.209328257619731
"Nepal","c_tx_m",0.113169603010507,0.0675011991571211,0.1796427789475,0.0726294177725575,0.0796191187783769,0.1508253967268,0.16448438419393
"Philippines","c_tx_m",0.132779440001958,0.0739441953123582,0.205870970118321,0.0804883327639289,0.0894659994021487,0.177931077885351,0.198221790466434
"Vietnam","c_tx_m",0.138753394785528,0.0860794039775929,0.212060526640728,0.0921811938575706,0.100828561482834,0.180777121676044,0.195543109287211
"Prior","c_tx_m",0.287076377105007,0.0107286034940334,0.744146971757299,0.0234293790780425,0.045323178452908,0.584770395892288,0.669552215138833
"Bangladesh","m_tb",0.00617286556711607,0.00184199600683264,0.0143384929396145,0.00216464308078713,0.00264564994661193,0.0109290527078995,0.0128124295649327
"Cambodia","m_tb",0.00354859685539326,0.00131615590891791,0.00842871795732272,0.00146574068504015,0.001649127702144,0.0062718918933891,0.0074858004056132
"Nepal","m_tb",0.0111431905644667,0.00272161216887285,0.0278612827466777,0.00334946940122762,0.00418650831272157,0.0199290004300289,0.0235400614918684
"Philippines","m_tb",0.00205580328604439,0.000814729712826025,0.00461301182134344,0.000875254378471954,0.00100282432939826,0.00348891698178666,0.00414510984712298
"Vietnam","m_tb",0.00431909735846104,0.00149870594107695,0.00970056515835159,0.00168958145594667,0.00187371000058732,0.00756148449594332,0.0092243306326739
"Prior","m_tb",0.0353289366517035,0.00135028872947412,0.0932638821274029,0.00273599238824017,0.00545353950079251,0.0766018359016734,0.0870497985078002
"Bangladesh","m_tb_m",0.0304933387868138,0.0203673288079415,0.0443340593801346,0.0217316452297704,0.0234536553075885,0.0383576321968679,0.0413283233591516
"Cambodia","m_tb_m",0.0242741641072954,0.0153979858589304,0.035142498815727,0.0166102385280761,0.0182565517013467,0.0308589781384933,0.0329764027055915
"Nepal","m_tb_m",0.0482358728566075,0.0272381084667284,0.0877404638328517,0.0290929023547305,0.0319941922497389,0.0687084059758071,0.0814668701110553
"Philippines","m_tb_m",0.0149212018553161,0.0115784963485678,0.019728957045511,0.0119157991902097,0.0124959067838234,0.0176158730720486,0.0189867426022421
"Vietnam","m_tb_m",0.0278322014543699,0.018005867764336,0.0418112292117006,0.0191832783977793,0.0205727774383127,0.0353601269603633,0.0386251414282306
"Prior","m_tb_m",0.23584892865992,0.00896917234297227,0.689688192351128,0.0173958385103464,0.0343636111339056,0.512212378915374,0.611211907973002
"Bangladesh","p_m",0.0384603303365435,0.0279874677526037,0.0504799980273097,0.0292289923299748,0.0311211090577814,0.046230372429378,0.0483376802566229
"Cambodia","p_m",0.0368750250921623,0.0242101002396411,0.0517352268603484,0.0262569565171115,0.0275658867825254,0.0463303698357481,0.049065261516102
"Nepal","p_m",0.0281456660337364,0.0187750311072349,0.0424645734703002,0.0198315194126859,0.0211235688392212,0.0356566669654821,0.0389253496675802
"Philippines","p_m",0.0390001546872435,0.0239598019362368,0.059026958524261,0.0256350017594924,0.0280472164897607,0.0500747765616675,0.0546825855663429
"Vietnam","p_m",0.0216066806897623,0.0146734604084807,0.0306369942608656,0.0150509433424919,0.0164340823775908,0.0268625426594348,0.0287252716008321
"Prior","p_m",0.0799636308401317,0.00375421064286563,0.189148740904261,0.00731841274757521,0.0140657070968063,0.160422444057755,0.178579897636161
"Bangladesh","p_s",0.172880509039897,0.124756502064814,0.198937938218494,0.134492854390885,0.145093399299102,0.195516398577558,0.197953656439513
"Cambodia","p_s",0.119580380362848,0.0761301878289527,0.170056039638882,0.0797875900310427,0.0885770702053566,0.152465548015741,0.163049751665649
"Nepal","p_s",0.135799830130829,0.0815980782887829,0.188518173406229,0.0899809327640325,0.0989998251458074,0.171589181836477,0.18160268656032
"Philippines","p_s",0.0846956948705634,0.0471486304904559,0.131350630727671,0.0522406981989321,0.0570301236050132,0.11486499155815,0.124742045493062
