"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.0765067615178819,0.139852423753541,1.03777951977229,0.148109106087979,0.403392936967223,0.0199818591857515,0.300915476718621,0.0287964896531979,2.34148115444717,0.00795608052793169,3.0226640214497,1,1
0.0605884185894844,0.100735300412379,1.48780107746201,0.152140716227306,0.402714549371555,0.0962748709344515,0.156659161859598,0.00748788677896315,17.0926170660448,0.00179049205456255,13.9816612043494,1,2
0.0432357134180875,0.162362739187812,1.13216678557573,0.0131561216229871,0.284336852087772,0.761937084608674,0.138340237210667,0.0170145594595507,5.51203826546646,0.00484311864431808,5.40023794412087,1,3
0.0405672973852488,0.155010767210333,1.37916087937544,0.0116482986510083,0.327822395059054,0.735064020808547,0.242145782704545,0.0099501865164347,3.89491642270722,0.00899386440032384,10.2062324721897,1,4
0.0330602702252637,0.17238162403772,1.2423056630196,0.0125237471881105,0.375078527588967,0.563924965522559,0.401862618937788,0.0109987833946908,3.49521559243197,0.0109368554114022,8.27075838958031,1,5
0.0330770056373147,0.169235315704871,1.52314088810566,0.0114189352615603,0.403630764297729,0.467445177969233,0.417088044977876,0.00809016350908053,3.61615856514351,0.00730217017833389,12.5830083635939,1,6
0.0378910380966566,0.166534006146517,2.12350800206462,0.0149590553848182,0.499066021511378,0.515627523431457,0.499751545851809,0.0109846962532029,2.81935561279972,0.0129881130078051,10.5334484461377,1,7
0.0346256941624159,0.17330715131344,1.84317322927515,0.0128259452561342,0.498635982648032,0.437080535104279,0.331921562330754,0.0156269305088839,4.14146140342973,0.00740457582315151,6.00684928161342,1,8
0.0396771349891099,0.191658644011107,1.15428822817838,0.0143466520903952,0.457479155839699,0.185755630575571,0.353410443342864,0.0108140171627604,1.47672324572661,0.0139350511872543,6.42411892026307,1,9
0.0332719632082959,0.153560100670801,1.78539218575502,0.00703288417050616,0.310989457141753,0.729734400315359,0.461308581841684,0.00930552752666084,5.39930985221815,0.00593160304186018,9.57008315505081,1,10
0.0520739790257426,0.197441847260368,1.04001524202171,0.0369851454611868,0.49556292757794,0.252084021103454,0.46379635338127,0.0154334906814626,6.29765988779072,0.00770975321537672,7.82623883918707,1,11
