"p_m","p_s","a_p_m","r_m","r_s","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_m_recip","a_r_s_recip","chain","round"
0.0396744813132659,0.102322150852645,1.238215243395,0.00185601153149828,0.28702662675655,0.209894666362237,0.0198976814008298,3.78760543255651,0.00468387862888933,4.38855388812578,1.3812483567626,13.645481873179,13.3708267836679,1,1
0.051157795764599,0.0678652189940563,1.18022417071033,0.127070398274346,0.266844922412352,0.49409521130132,0.00944837353450974,1.20115693387769,0.0218493135362025,15.8574479461956,1.92877377713505,18.9767496623123,16.2227048387915,1,2
0.0610979645857076,0.0982663426328751,1.04298872531296,0.0884075589567671,0.22365178708763,0.447224991485504,0.0100168611887066,4.52103835258525,0.00524752438074505,11.9639585071937,1.05690391960782,18.8090397212292,12.8080386275215,1,3
0.0610979645857076,0.0982663426328751,1.04298872531296,0.0884075589567671,0.22365178708763,0.447224991485504,0.0100168611887066,4.52103835258525,0.00524752438074505,11.9639585071937,1.05690391960782,18.8090397212292,12.8080386275215,1,4
0.0480057779745754,0.0952012944773963,1.13133118821973,0.0736841254377314,0.251550549919792,0.453900054991735,0.00898990563711901,5.72428624928831,0.00379612466247288,12.1491165818323,1.02450805373499,19.5056079311391,15.6828045202532,1,5
0.0344263474205611,0.10466379200381,1.24634884927618,0.0304308555596196,0.269930291708286,0.454280139299462,0.0102161878576334,4.68367795246084,0.00346782617838778,10.4210679775659,1.12414929520347,19.296313303575,14.9178135917361,1,6
0.0462851251861918,0.0964177452676925,1.07884465151133,0.0614116659497442,0.219959285636461,0.485666718352079,0.0106023596422707,7.9140652092364,0.00241221786759747,9.62885412564187,1.10849635213864,18.5882456750033,14.9840748372592,1,7
0.0444401906091701,0.115593481877841,1.32054296569936,0.0249255241120697,0.304609624880685,0.348312316975615,0.0149687930321765,4.46122612003186,0.00465026939646872,7.09137058194094,1.08426272180206,17.939093995743,10.3145398891689,1,8
0.0335994244117348,0.123605767400537,1.49993972692107,0.0217910751868792,0.326039099431447,0.254850563807698,0.0161270041408357,5.65314960207642,0.00459699516187344,5.93463613782183,1.13849764948793,18.1802801395334,5.46587167399506,1,9
0.0382892556106466,0.103295508654143,1.4820010984492,0.0209554832542977,0.288140375472439,0.373465702591406,0.0108944659391838,7.26255931968426,0.00259510005503209,9.28391957610615,1.01912996157884,18.2073596132533,8.84759126015641,1,10
