"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_s","chain","round"
0.0120979326481083,0.195546617108146,4.91035965780988,0.00346552724405611,0.339117818063661,0.453139529668556,0.118918766604161,0.0367231285057921,14.5460223346701,0.00143644797953544,5.45819386812015,1.61589943051474,0.73235804967046,1,1
0.0150324746921907,0.141366117467222,5.24813549660919,0.0198581235798111,0.46615659620734,0.272399957333808,0.3059692092739,0.0189396826799625,11.6326641975756,0.00388028783579227,7.1404090013715,2.25956219754332,0.530004372812726,1,2
0.00847413741575213,0.140084520178917,7.45849775333261,0.00205082376737332,0.363115200312549,0.206753652961904,0.173180792464883,0.022358044218855,8.95573868382442,0.00270321640206513,5.31842700666592,2.20653027820252,0.663646122656047,1,3
0.022341766573302,0.0933908157459111,1.09230560494512,0.0268947485384066,0.195106908646865,0.150832091621857,0.120051428936824,0.0304320824174199,5.49858611356355,0.00325924086306198,7.53913654680908,4.65187214385073,0.571132706366633,1,4
0.0278896917474367,0.155291485486156,1.22111126409717,0.0118176139854012,0.325769657358907,0.439047113285343,0.235475788981638,0.0235597690137103,7.19249812208538,0.00335686635504383,5.47145601472415,2.4095591576556,0.643385359833287,1,5
0.0231569859967423,0.190153495735126,1.65082314153123,0.0199171285917194,0.461026852066086,0.392217764420332,0.272953933820888,0.0187623274539057,9.52919939806895,0.00408914160275987,8.66610826197436,1.63571745226154,0.429655166479695,1,6
0.0224925952632973,0.150010201986509,2.07118706632903,0.00131208665715862,0.357477471573671,0.425741368940795,0.33541291567847,0.032299719708225,6.44289716433437,0.00298403125616008,5.18375721055156,1.79501014878176,0.459866897119155,1,7
0.0233566142167786,0.0988747704732004,2.49892039722658,0.00282074948822583,0.170428383940555,0.876408187435258,0.430375534827662,0.028950040339606,7.09886109956314,0.00310032871313376,8.5156266718403,1.69807168287659,0.773467702190239,1,8
0.0233348850489316,0.160852286287958,1.39314472225373,0.0105618423209903,0.266631595813677,0.855851372720407,0.313633923792365,0.0205787668832142,7.13337499200817,0.00499889311017723,7.13147783310558,1.41211686433826,0.654139773419075,1,9
0.0160722225684426,0.184154427368386,3.59558799193247,0.00921700372396125,0.413247094721141,0.763344129047122,0.415129175267717,0.0200284952343831,6.49294435902095,0.004874210972858,6.69177832831323,1.81295931358831,0.646821316950713,1,10
0.0193905197618216,0.114837769145064,2.2714519491177,0.00823407829752868,0.251168397540569,0.634913706701603,0.358287904295528,0.0451765845453861,11.1466407714931,0.00223561604133797,2.34776147149269,2.01593617962603,0.397206550602129,1,11
0.0250426529868191,0.146514788642497,1.43014814107704,0.0130198567293951,0.276949856952254,0.469857801447031,0.230829593493986,0.0169412074457571,13.3189990868613,0.00184012326108135,7.71699810435147,1.53632382091755,0.341222244028448,1,12
0.0202491092410255,0.0924720856791912,3.07790223543572,0.0162885288520791,0.298729908705887,0.5428686403533,0.253900215912132,0.0122611698173598,16.4924668431624,0.00223414811545564,17.3424741320401,3.39763710758899,0.541893030250471,2,1
0.0120886770522636,0.130016396998458,6.64704618252064,0.0402781908681216,0.414730720920503,0.225691122215921,0.439789243540944,0.03326085190835,4.44682587652237,0.00962273429565621,2.35046899659318,3.82939216764294,0.80081759883764,2,2
0.0103298409747595,0.133107202671521,5.54825714229876,0.00411846613633187,0.453369202403115,0.324892663857036,0.363102022398167,0.0317010473263439,4.52291847915419,0.00678622901118481,4.89696164693183,2.23834272315518,0.994785438121782,2,3
0.0147263737387553,0.1626868059036,3.84761492208999,0.0229422700379498,0.335579984088833,0.220390182013306,0.324699390283758,0.0285831518132665,7.36000523587161,0.00391993226917021,6.47509852917479,1.75467106589262,0.616532068909185,2,4
0.0162585390737021,0.180378369853909,2.49327960366215,0.0128330231392142,0.374437856804633,0.230823319774026,0.32235987306057,0.0256034725615265,7.63047998831116,0.00381407396100707,4.76858595519172,2.53342738442973,0.812157803951193,2,5
0.0201699694559943,0.169073919061115,2.28841178925543,0.00715358643128538,0.359001380446317,0.382655952983833,0.334366423278713,0.0178254713822018,9.43485913918919,0.00305035671434471,7.11077341065184,2.45715180943976,0.943516850239095,2,6
0.0200485333293376,0.148617896616707,2.00983077631557,0.00973855493259856,0.294390874285886,0.478880995521664,0.361469801933465,0.0266388918665236,10.9043529163865,0.00206067856698575,3.41594633858467,3.77595785102624,0.853157338820252,2,7
0.0233457441652615,0.154905406176231,1.57993953173676,0.0229582471587231,0.323548798580804,0.113609410677482,0.254395661479731,0.0180837869423022,11.266507987912,0.00284281645171608,7.39800370690233,2.54741740133358,0.735923391757291,2,8
0.0227408777746893,0.163388348490131,2.29432797843443,0.00644516107763813,0.349980620211229,0.5502724812848,0.42210724450097,0.0245667441511214,10.7132868244003,0.00271140371152802,8.98596794138371,1.6425424187267,0.804517212515963,2,9
0.0162701043638708,0.15653486596007,3.84571817226955,0.0176210618821577,0.360078297754474,0.13484080866712,0.233507312219582,0.0162849389021704,3.94587141165429,0.00599604700626691,5.41712786716178,3.38884854089247,0.836450729783816,2,10
0.0158972443680553,0.190435206123723,2.47678968133708,0.0192047313450016,0.443588488562726,0.262469132709242,0.227880295627619,0.0361153282507186,5.28691414075057,0.00647352591636477,2.93692460605696,3.02724135118164,0.957020579312264,2,11
0.0226489366156099,0.185816329845636,2.71258800760868,0.0106836595839751,0.482663471873635,0.0828231889780001,0.40595872861202,0.0361219751759764,4.5499777112822,0.00699432516091146,4.4632659161302,2.61177815115925,0.891364988962068,2,12
0.0362802404631856,0.171356313259192,1.77159863960829,0.039627857909753,0.405539740511089,0.0951252982495842,0.377602766728732,0.0286060958389024,3.16208227528342,0.00475009814499156,5.71839546316611,2.21823392547487,0.0890519171394454,3,1
0.0192354701170703,0.183792358453673,3.57200779196084,0.00919053285150288,0.363529327578816,0.0914463425213399,0.429812199623276,0.027392152687646,6.4854012328284,0.00532082336358966,5.97302177126552,1.35714854050282,0.702493090286198,3,2
0.0217797254890612,0.186666653575524,2.61631048888567,0.0164305146532154,0.432161893090574,0.0392549775885381,0.464766255001401,0.0195587088326831,3.80125693818797,0.0079694877376468,8.04308140453534,1.61322446750332,0.611995734679554,3,3
0.0189808566141375,0.131260709247826,3.16996452863142,0.00395146423509587,0.30525642128493,0.3675133479663,0.457080283254411,0.0320094458609327,9.57494297681521,0.0021545048654106,4.3142358832541,2.18335219117067,0.633528449875821,3,4
