"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_s","chain","round"
0.00842585867232084,0.152636484590011,9.24209564128993,0.0076871728882296,0.489559749563065,0.473984743829997,0.460802476610161,0.0365582699842998,2.09256456319474,0.0193312692100358,2.02744850235561,1.84425691447283,0.783060474267923,1,1
0.00990567334643278,0.1436486415051,5.94875616783422,0.00853163081020954,0.377020955716044,0.607499682603852,0.465642696721459,0.0442501458577224,3.04149079414722,0.0127089616315949,1.44618656942275,1.83132717068662,0.790838293579661,1,2
0.00749778422860697,0.127815256161722,5.33004828164121,0.0114289343544548,0.203771133386129,0.783289404812623,0.494591440760677,0.0386208059597787,4.64563130252544,0.00590031327154419,2.18852706474742,2.1008281246595,0.841338132911778,1,3
0.0106372434024601,0.127646092476949,2.3540854824419,0.00177859366545496,0.217052145139072,0.538438101493071,0.443444389201107,0.0350274762478719,2.51476601272892,0.00984503652386018,2.78515990700922,1.85657643771962,0.83991310005463,1,4
0.0132885316323416,0.112007178350616,4.02857588458423,0.00681459374096028,0.261263682072586,0.751150040216209,0.373012257772993,0.0582716072401645,7.7357660822743,0.00350254276588246,1.58233005498858,1.96484397945228,0.737418986624771,1,5
0.00836331188040946,0.133170749105736,5.61116167435575,0.00214290882551657,0.237376502538723,0.97879894901344,0.34621179043437,0.0506090416299991,5.56437518922054,0.0043720303743646,1.52155203079849,2.14457798027046,0.931150403455316,1,6
0.0101988377721845,0.114778235698325,5.39381339495444,0.00994700683209,0.273887653984784,0.369301202184295,0.417616282921428,0.0414641669531348,7.49871777668981,0.00382175799738949,1.539170683646,2.78293329413632,0.786242824897456,1,7
0.00877233418042537,0.158749723572022,4.38102384886183,0.00738256870603601,0.218850318565712,0.602286708816828,0.285272561312663,0.0352092516071226,7.7667188194979,0.00354820313375815,2.18765803744365,1.63354112805257,0.963076724779019,1,8
0.0107916597300721,0.192492867257071,3.3744544256976,0.0133545444308295,0.32738797965197,0.366857449850223,0.144407717025877,0.0325296643914013,11.5597906168008,0.00346809305576336,3.21275773977088,1.3220242672719,0.971924496642463,1,9
0.00899826603027315,0.128807554866847,3.80157741712579,0.00237959887936826,0.200326517689226,0.629524980941895,0.466154657047302,0.0416736143734427,4.89194133673656,0.00629933613350997,4.02499921957957,1.06126819040324,0.95602625241211,1,10
